ASSET_TYPE,TYPE_DESCRIPTION,DEDICATION,ORIENTATION,PLAQUE,MANUFACTURER,PLAQUE_SPONSOR,FINISH_TYPE,ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,longitude,latitude,location
6,PICNIC TABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NATURAL WOOD,,CRA074,27 CRANBROOK HL SE,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.97805698625712,50.865966990316636,"(50.865966990316636, -113.97805698625712)"
5,PARKS BENCH,NOT APPLICABLE,NW,NOT APPLICABLE,,,NATURAL WOOD,,CRA074,27 CRANBROOK HL SE,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.97827355038774,50.86669038765495,"(50.86669038765495, -113.97827355038774)"
5,PARKS BENCH,NOT APPLICABLE,W,NOT APPLICABLE,,,NATURAL WOOD,,CRA074,27 CRANBROOK HL SE,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.97840346457086,50.86653149987232,"(50.86653149987232, -113.97840346457086)"
5,PARKS BENCH,NOT APPLICABLE,NW,NOT APPLICABLE,,,NATURAL WOOD,,CRA074,27 CRANBROOK HL SE,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.97824459366505,50.86669680022874,"(50.86669680022874, -113.97824459366505)"
3,MEMORIAL BENCH,EV'S BENCH,N,PRESENT,,PARKS FOUNDATION,LACQUERED WOOD,REFURBISHED- BOARDS AND FRAME,GPK056,,CALGARY PARKS,CALGARY PARKS,2020/06/29 ;REFURBISHED- BOARDS AND FRAME;PARKS FOUNDATION FUNDING; SEE REPOSITORY FOR DETAILS,ACTIVE,-114.10297818911621,50.97394388082139,"(50.97394388082139, -114.10297818911621)"
6,PICNIC TABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NATURAL WOOD,,CRA074,27 CRANBROOK HL SE,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.97807559698127,50.866934428474664,"(50.866934428474664, -113.97807559698127)"
5,PARKS BENCH,NOT APPLICABLE,SW,NOT APPLICABLE,,,,,HAR399,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,-114.04264026121484,51.15017346102691,"(51.15017346102691, -114.04264026121484)"
5,PARKS BENCH,NOT APPLICABLE,W,NOT APPLICABLE,,,NATURAL WOOD,,CRA074,27 CRANBROOK HL SE,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.97839445551392,50.86650580835531,"(50.86650580835531, -113.97839445551392)"
6,PICNIC TABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NATURAL WOOD,,CRA074,27 CRANBROOK HL SE,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.9781911512751,50.86681843945684,"(50.86681843945684, -113.9781911512751)"
4,MEMORIAL PICNIC TABLE,"""THE FAMILY IS ONE OF NATURE'S MASTERPIECES"" CELEBRATING MILESTONES: OLIVER W 2019-09-18 ARRIVED JOAN K 2019-11-03 65TH KB <3JR 2020-06-20 WED",,PRESENT,,PARKS FOUNDATION,LACQUERED WOOD,,GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.13889839127924,50.99289454286473,"(50.99289454286473, -114.13889839127924)"
5,PARKS BENCH,NOT APPLICABLE,SE,NOT APPLICABLE,,,PAINTED,,SGH008,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.12797555607094,51.17046367664148,"(51.17046367664148, -114.12797555607094)"
3,MEMORIAL BENCH,LEO W. BOUCKHOUT,N,PRESENT,,PARKS FOUNDATION,LACQUERED WOOD,,GPK056,,CALGARY PARKS,CALGARY PARKS,2020/06/03; REFURBISHED BOARDS AND FRAME ANDPARKS FOUNDATION FUNDING; SEE REPOSITORY FOR DETAILS,ACTIVE,-114.10626543448458,50.9738929938956,"(50.9738929938956, -114.10626543448458)"
5,PARKS BENCH,NOT APPLICABLE,,NOT APPLICABLE,,,,,ING013,,CALGARY PARKS,CALGARY PARKS,SEATING WALL; BASALT FLATS,ACTIVE,-114.02802330978588,51.03901182126249,"(51.03901182126249, -114.02802330978588)"
6,PICNIC TABLE,NOT APPLICABLE,NE,NOT APPLICABLE,,,PAINTED,,SGH008,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.12811257667956,51.17036240869538,"(51.17036240869538, -114.12811257667956)"
6,PICNIC TABLE,NOT APPLICABLE,,NOT APPLICABLE,,,NATURAL WOOD,NO DAS OR ORTHO AT FAC; 2020/02/20: PARK REDEVELOPED BY PARKS FOUNDATION; FACD 2019/12/19 BY PARKS MANAGMENT (N BERNARD) NO OFFICIAL CCC OR FAC DOC.  USED 2018/12/19 FOR CCC AS PER R MAY.  PARK INSPECTOR: R MAY,FLN607,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.97194482427962,51.04366574730899,"(51.04366574730899, -113.97194482427962)"
5,PARKS BENCH,NOT APPLICABLE,,NOT APPLICABLE,,,NATURAL WOOD,NO DAS OR ORTHO AT FAC; 2020/02/20: PARK REDEVELOPED BY PARKS FOUNDATION; FACD 2019/12/19 BY PARKS MANAGMENT (N BERNARD) NO OFFICIAL CCC OR FAC DOC.  USED 2018/12/19 FOR CCC AS PER R MAY.  PARK INSPECTOR: R MAY,FLN607,,CALGARY PARKS,CALGARY PARKS,LOGS,ACTIVE,-113.97111556213378,51.04360390270041,"(51.04360390270041, -113.97111556213378)"
3,MEMORIAL BENCH,,NW,NOT INSTALLED,,PARKS FOUNDATION,LACQUERED WOOD,X ACR 2,ERL246,ERLTON - 24 AVE SW E SIDE OF RIVER - GRP OF 2 BNCHES ON PLAZA.,CALGARY PARKS,CALGARY PARKS,PARKS FOUNDATION FUNDING; SEE REPOSITORY FOR DETAILS,ACTIVE,-114.0638034374368,51.0320792638387,"(51.0320792638387, -114.0638034374368)"
5,PARKS BENCH,NOT APPLICABLE,W,NOT APPLICABLE,,,NATURAL WOOD,"2020/05/06: NO INSTALL DT BUT AN ACTIVE DT PRESENT, USED ACTIVE DT FOR INSTALL DT",09H862,,CALGARY ROADS,CALGARY PARKS,2019/07/17: ASSET BEHIND FENCED AREA BEING REHABBED; CANNOT GET AN ACR VALUE,ACTIVE,-114.02039144461314,51.00505748750914,"(51.00505748750914, -114.02039144461314)"
3,MEMORIAL BENCH,,SE,NOT INSTALLED,,PARKS FOUNDATION,LACQUERED WOOD,,CAN345,,CALGARY PARKS,CALGARY PARKS,PARKS FOUNDATION FUNDING; SEE REPOSITORY FOR DETAILS,ACTIVE,-114.08082373194866,50.94020249160153,"(50.94020249160153, -114.08082373194866)"
5,PARKS BENCH,NOT APPLICABLE,SW,NOT APPLICABLE,,,NATURAL WOOD,"2020/05/06: NO INSTALL DT BUT AN ACTIVE DT PRESENT, USED ACTIVE DT FOR INSTALL DT",09H862,,CALGARY ROADS,CALGARY PARKS,2019/07/17: ASSET BEHIND FENCED AREA BEING REHABBED; CANNOT GET AN ACR VALUE,ACTIVE,-114.01585762864084,51.006469016594835,"(51.006469016594835, -114.01585762864084)"
5,PARKS BENCH,NOT APPLICABLE,W,NOT APPLICABLE,,,NATURAL WOOD,"2020/05/06: NO INSTALL DT BUT AN ACTIVE DT PRESENT, USED ACTIVE DT FOR INSTALL DT",09H862,,CALGARY ROADS,CALGARY PARKS,2019/07/17: ASSET BEHIND FENCED AREA BEING REHABBED; CANNOT GET AN ACR VALUE,ACTIVE,-114.0204531641896,51.00577573788761,"(51.00577573788761, -114.0204531641896)"
5,PARKS BENCH,NOT APPLICABLE,S,NOT APPLICABLE,,,PAINTED,"2020/05/06: NO INSTALL DT BUT AN ACTIVE DT PRESENT, USED ACTIVE DT FOR INSTALL DT",09H862,,CALGARY ROADS,CALGARY PARKS,2019/07/17: ASSET BEHIND FENCED AREA BEING REHABBED; CANNOT GET AN ACR VALUE,ACTIVE,-114.01518670306459,51.006693384855005,"(51.006693384855005, -114.01518670306459)"
5,PARKS BENCH,NOT APPLICABLE,S,NOT APPLICABLE,,,NATURAL WOOD,"2020/05/06: NO INSTALL DT BUT AN ACTIVE DT PRESENT, USED ACTIVE DT FOR INSTALL DT",09H862,,CALGARY ROADS,CALGARY PARKS,,ACTIVE,-114.01551685004283,51.00679158012636,"(51.00679158012636, -114.01551685004283)"
5,PARKS BENCH,NOT APPLICABLE,W,NOT APPLICABLE,,,NATURAL WOOD,"2020/05/06: NO INSTALL DT BUT AN ACTIVE DT PRESENT, USED ACTIVE DT FOR INSTALL DT",09H862,,CALGARY ROADS,CALGARY PARKS,2019/07/17: ASSET BEHIND FENCED AREA BEING REHABBED; CANNOT GET AN ACR VALUE,ACTIVE,-114.02040528885763,51.00499678420124,"(51.00499678420124, -114.02040528885763)"
